Pino,Catodo/Anodo,SiPM Pixel
1,Catodo,G8
2,Catodo,H8
3,NC,NC
4,Anodo,G8
5,Anodo,H8
6,Anodo,H7
7,Anodo,G7
8,NC,NC
9,Catodo,H7
10,Catodo,G7
11,Catodo,G6
12,Catodo,H6
13,NC,NC
14,Anodo,G6
15,Anodo,H6
16,Anodo,H5
17,Anodo,G5
18,NC,NC
19,Catodo,H5
20,Catodo,G5
21,Catodo,G4
22,Catodo,H4
23,NC,NC
24,Anodo,G4
25,Anodo,H4
26,Anodo,H3
27,Anodo,G3
28,NC,NC
29,Catodo,H3
30,Catodo,G3
31,Catodo,G2
32,Catodo,H2
33,NC,NC
34,Anodo,G2
35,Anodo,H2
36,Anodo,H1
37,Anodo,G1
38,NC,NC
39,Catodo,H1
40,Catodo,G1
41,Catodo,F1
42,Catodo,E1
43,NC,NC
44,Anodo,F1
45,Anodo,E1
46,Anodo,E2
47,Anodo,F2
48,NC,NC
49,Catodo,E2
50,Catodo,F2
51,Catodo,F3
52,Catodo,E3
53,NC,NC
54,Anodo ,F3
55,Anodo,E3
56,Anodo,E4
57,Anodo,F4
58,NC,NC
59,Catodo,E4
60,Catodo,F4
61,Catodo,F5
62,Catodo,E5
63,NC,NC
64,Anodo,F5
65,Anodo,E5
66,Anodo,E6
67,Anodo,F6
68,NC,NC
69,Catodo,E6
70,Catodo,F6
71,Catodo,F7
72,Catodo,E7
73,NC,NC
74,Anodo,F7
75,Anodo,E7
76,Anodo,E8
77,Anodo,F8
78,NC,NC
79,Catodo,E8
80,Catodo,F8
