S1(2)_2,J1,J2
1,1,1
2,2,2
3,1,1
4,2,2
5,NC,NC
6,NC,NC
7,60,60
8,76,76
9,58,58
10,74,74
11,54,54
12,72,72
13,52,52
14,70,70
15,NC,NC
16,NC,NC
17,1,1
18,2,2
19,1,1
20,2,2
21,1,1
22,2,2
23,1,1
24,2,2
25,NC,NC
26,NC,NC
27,50,50
28,68,68
29,48,48
30,66,66
31,46,46
32,64,64
33,44,44
34,62,62
35,NC,NC
36,NC,NC
37,1,1
38,2,2
39,1,1
40,2,2
41,1,1
42,2,2
43,1,1
44,2,2
45,NC,NC
46,NC,NC
47,45,45
48,63,63
49,47,47
50,65,65
51,49,49
52,67,67
53,51,51
54,69,69
55,NC,NC
56,NC,NC
57,1,1
58,2,2
59,1,1
60,2,2
61,1,1
62,2,2
63,1,1
64,2,2
65,NC,NC
66,NC,NC
67,53,53
68,71,71
69,57,57
70,73,73
71,59,59
72,75,75
73,61,61
74,77,77
75,NC,NC
76,NC,NC
77,1,1
78,2,2
79,1,1
80,2,2
